Company Name,URL,Company Info
CME Group Inc,"https://www.glassdoor.com.au/Overview/Working-at-CME-Group-EI_IE7796.11,20.htm","www.cmegroup.com; Chicago, United States; 1001 to 5000 Employees; 6 Locations; Type: Company - Public (CME); Founded in 2007; Revenue: $2 to $5 billion (USD); Investment & Asset Management"
"The Travelers Companies, Inc","https://www.glassdoor.com.au/Overview/Working-at-Travelers-EI_IE1904.11,20.htm","www.travelers.com; Hartford, United States; 10000+ Employees; 33 Locations; Type: Company - Public (TRV); Founded in 1853; Revenue: $10+ billion (USD); Insurance Carriers"
"Healthpeak Properties, Inc","https://www.glassdoor.com.au/Overview/Working-at-Healthpeak-Properties-EI_IE321.11,32.htm","www.healthpeak.com; Denver, United States; 51 to 200 Employees; 5 Locations; Type: Company - Public (PEAK); Founded in 1985; Revenue: $10+ billion (USD); Real Estate"
MSCI Inc,"https://www.glassdoor.com.au/Overview/Working-at-MSCI-EI_IE14616.11,15.htm","careers.msci.com/; New York, United States; 1001 to 5000 Employees; 14 Locations; Type: Company - Public (MSCI); Founded in 1969; Revenue: $2 to $5 billion (USD); Investment & Asset Management"
Invesco Ltd.,"https://www.glassdoor.com.au/Overview/Working-at-Invesco-Assurance-EI_IE1396250.11,28.htm","invescoassurance.co.ke; Nairobi, Kenya; 51 to 200 Employees; Type: Company - Public; Revenue: Unknown / Non-Applicable"
"Dollar Tree, Inc","https://www.glassdoor.com.au/Overview/Working-at-Dollar-Tree-EI_IE4033.11,22.htm","corporate.dollartree.com/; Chesapeake, United States; 10000+ Employees; 1 Location; Type: Company - Public (DLTR); Revenue: $10+ billion (USD); General Merchandise & Superstores"
Philip Morris International Inc,"https://www.glassdoor.com.au/Overview/Working-at-Philip-Morris-International-EI_IE7745.11,38.htm","www.pmi.com; Melbourne, Australia; 201 to 500 Employees; 25 Locations; Type: Company - Public (PM); Founded in 2008; Revenue: $10+ billion (USD); Consumer Product Manufacturing"
Visa Inc,"https://www.glassdoor.com.au/Overview/Working-at-Visa-Inc-EI_IE3035.11,19.htm","www.visa.com; Foster City, United States; 10000+ Employees; 30 Locations; Type: Company - Public (V); Founded in 1958; Revenue: $10+ billion (USD); Information Technology Support Services"
"NetApp, Inc","https://www.glassdoor.com.au/Overview/Working-at-NetApp-EI_IE5406.11,17.htm","www.netapp.com; Cork, Ireland; 10000+ Employees; 28 Locations; Type: Company - Public (NTAP); Founded in 1992; Revenue: $5 to $10 billion (USD); Enterprise Software & Network Solutions"
"American Water Works Company, Inc","https://www.glassdoor.com.au/Overview/Working-at-American-Water-EI_IE44.11,25.htm","www.amwater.com; Camden, United States; 5001 to 10000 Employees; 20 Locations; Type: Company - Public (AWK); Founded in 1886; Revenue: $2 to $5 billion (USD); Energy & Utilities"
EQT Corporation,"https://www.glassdoor.com.au/Overview/Working-at-EQT-Corporation-EI_IE233.11,26.htm","www.eqt.com; Pittsburgh, United States; 501 to 1000 Employees; 11 Locations; Type: Company - Public (EQT); Founded in 1888; Revenue: $2 to $5 billion (USD); Energy & Utilities"
"Verisk Analytics, Inc","https://www.glassdoor.com.au/Overview/Working-at-Verisk-EI_IE140233.11,17.htm","www.verisk.com; Jersey City, United States; 5001 to 10000 Employees; 13 Locations; Type: Company - Public (VRSK); Founded in 1971; Revenue: $2 to $5 billion (USD); Research & Development"
Constellation Energy Corporation,"https://www.glassdoor.com.au/Overview/Working-at-Constellation-Energy-Partners-EI_IE41507.11,40.htm","www.constellationenergypartners.com; Houston, United States; 51 to 200 Employees; Type: Company - Public (CEP); Revenue: $25 to $50 million (USD); Energy & Utilities"
Dollar General Corporation,"https://www.glassdoor.com.au/Overview/Working-at-Dollar-General-EI_IE1342.11,25.htm","www.dollargeneral.com; Goodlettsville, United States; 10000+ Employees; Type: Company - Public (DG); Founded in 1939; Revenue: $10+ billion (USD); Other Retail Shops"
"Fortinet, Inc","https://www.glassdoor.com.au/Overview/Working-at-Fortinet-EI_IE23128.11,19.htm","www.fortinet.com; Sunnyvale, United States; 10000+ Employees; 27 Locations; Type: Company - Public (FTNT); Founded in 2000; Revenue: $2 to $5 billion (USD); Computer Hardware Development"
General Motors Company,"https://www.glassdoor.com.au/Overview/Working-at-Cook-Chevrolet-Subaru-and-Ford-EI_IE6567227.11,41.htm","www.cook-cars.com; Craig, United States; 1 to 50 Employees; Type: Company - Public; Revenue: Unknown / Non-Applicable"
LyondellBasell Industries N.V.,"https://www.glassdoor.com.au/Overview/Working-at-LyondellBasell-EI_IE15015.11,25.htm","www.lyondellbasell.com; Houston, United States; 10000+ Employees; 8 Locations; Type: Company - Public (LYB); Founded in 2007; Revenue: $10+ billion (USD); Chemical Manufacturing"
A. O. Smith Corporation,"https://www.glassdoor.com.au/Overview/Working-at-A-O-Smith-EI_IE753.11,20.htm","www.aosmith.com/; Milwaukee, United States; 10000+ Employees; 17 Locations; Type: Company - Public (AOS); Founded in 1874; Revenue: $2 to $5 billion (USD); Machinery Manufacturing"
"Cboe Global Markets, Inc","https://www.glassdoor.com.au/Overview/Working-at-Cboe-Global-Markets-EI_IE7355.11,30.htm","www.cboe.com; Chicago, United States; 1001 to 5000 Employees; 14 Locations; Type: Company - Public (CBOE); Founded in 1973; Revenue: Unknown / Non-Applicable; Stock Exchanges"
