Company Name,URL,Company Info
"Etsy, Inc","https://www.glassdoor.com.au/Overview/Working-at-Etsy-EI_IE42751.11,15.htm",Manually fixed
WestRock Company,"https://www.glassdoor.com.au/Overview/Working-at-WestRock-EI_IE1033056.11,19.htm","www.westrock.com; Atlanta, United States; 10000+ Employees; 25 Locations; Type: Company - Public (WRK); Founded in 2015; Revenue: $10+ billion (USD); Consumer Product Manufacturing"
The Kraft Heinz Company,"https://www.glassdoor.com.au/Overview/Working-at-Kraft-Heinz-Company-EI_IE1026712.11,30.htm","www.kraftheinzcompany.com; Chicago, United States; 10000+ Employees; 41 Locations; Type: Company - Public (KHC); Founded in 2015; Revenue: $10+ billion (USD); Food & Beverage Manufacturing"
"PayPal Holdings, Inc","https://www.glassdoor.com.au/Overview/Working-at-PayPal-EI_IE9848.11,17.htm","www.paypal.com; San Jose, United States; 10000+ Employees; 18 Locations; Type: Company - Public (PYPL); Founded in 1998; Revenue: $10+ billion (USD); Internet & Web Services"
Hewlett Packard Enterprise Company,"https://www.glassdoor.com.au/Overview/Working-at-Hewlett-Packard-Enterprise-HPE-EI_IE1093046.11,41.htm","careers.HPE.com; Houston, United States; 10000+ Employees; 25 Locations; Type: Company - Public (HPE); Founded in 2015; Revenue: Unknown / Non-Applicable; Information Technology Support Services"
Willis Towers Watson Public Limited Company,"https://www.glassdoor.com.au/Overview/Working-at-WTW-EI_IE1122768.11,14.htm","www.wtwco.com; London, United Kingdom; 10000+ Employees; 25 Locations; Type: Company - Public (WLTW); Founded in 1828; Revenue: $10+ billion (USD); Business Consulting"
Hubbell Incorporated,"https://www.glassdoor.com.au/Overview/Working-at-Hubbell-EI_IE901.11,18.htm","www.hubbell.com; Shelton, United States; 10000+ Employees; 56 Locations; Type: Company - Public (HUBB); Founded in 1888; Revenue: $2 to $5 billion (USD); Electronics Manufacturing"
Fortive Corporation,"https://www.glassdoor.com.au/Overview/Working-at-Corporation-Al-Tasslim-For-Delivery-EI_IE7996354.11,46.htm","Ajman, United Arab Emirates; 501 to 1000 Employees; Type: Contract; Revenue: Unknown / Non-Applicable"
Johnson Controls International plc,"https://www.glassdoor.com.au/Overview/Working-at-Johnson-Controls-EI_IE365.11,27.htm","jobs.johnsoncontrols.com/; Cork, Ireland; 10000+ Employees; 45 Locations; Type: Company - Public (JCI); Founded in 1885; Revenue: $10+ billion (USD); Machinery Manufacturing"
"DuPont de Nemours, Inc","https://www.glassdoor.com.au/Overview/Working-at-DuPont-EI_IE215.11,17.htm","www.dupont.com/; Wilmington, United States; 10000+ Employees; 26 Locations; Type: Company - Public (DD); Founded in 1802; Revenue: $10+ billion (USD); Consumer Product Manufacturing"
"Lamb Weston Holdings, Inc","https://www.glassdoor.com.au/Overview/Working-at-Lamb-Weston-EI_IE911897.11,22.htm","www.lambweston.com; Eagle, United States; 5001 to 10000 Employees; 18 Locations; Type: Company - Public (LW); Founded in 1950; Revenue: $5 to $10 billion (USD); Food & Beverage Manufacturing"
"Charter Communications, Inc","https://www.glassdoor.com.au/Overview/Working-at-Spectrum-EI_IE1500006.11,19.htm",Manually fixed
Howmet Aerospace Inc,"https://www.glassdoor.com.au/Overview/Working-at-Howmet-Aerospace-EI_IE3311753.11,27.htm",Manually fixed
Invitation Homes Inc,"https://www.glassdoor.com.au/Overview/Working-at-Invitation-Homes-EI_IE666277.11,27.htm","www.invitationhomes.com; Dallas, United States; 1001 to 5000 Employees; 16 Locations; Type: Company - Public (INVH); Founded in 2012; Revenue: $2 to $5 billion (USD); Real Estate"
Ingersoll Rand Inc,"https://www.glassdoor.com.au/Overview/Working-at-Ingersoll-Rand-EI_IE3248638.11,25.htm","www.irco.com; Davidson, United States; 10000+ Employees; Type: Company - Public; Founded in 1859; Revenue: $5 to $10 billion (USD); Machinery Manufacturing"
Baker Hughes Company,"https://www.glassdoor.com.au/Overview/Working-at-Baker-Hughes-EI_IE1902699.11,23.htm","www.bakerhughes.com; Houston, United States; 10000+ Employees; 24 Locations; Type: Company - Public (BKR); Founded in 1907; Revenue: $10+ billion (USD); Energy & Utilities"
"Match Group, Inc","https://www.glassdoor.com.au/Overview/Working-at-Match-Group-EI_IE4454879.11,22.htm","www.mtch.com; Dallas, United States; 1001 to 5000 Employees; 21 Locations; Type: Company - Public (MTCH); Founded in 2015; Revenue: $2 to $5 billion (USD); Internet & Web Services"
Linde plc,"https://www.glassdoor.com.au/Overview/Working-at-Linde-EI_IE10436.11,16.htm","www.linde.com; Woking, United Kingdom; 10000+ Employees; 14 Locations; Type: Company - Public (LIN); Founded in 1879; Revenue: $10+ billion (USD); Chemical Manufacturing"
VICI Properties Inc,"https://www.glassdoor.com.au/Overview/Working-at-VICI-Properties-EI_IE1964301.11,26.htm","viciproperties.com/; Las Vegas, United States; Unknown; Type: Company - Public (VICI); Revenue: Unknown / Non-Applicable; Real Estate"
Broadcom Inc,"https://www.glassdoor.com.au/Overview/Working-at-Broadcom-EI_IE6926.11,19.htm","www.broadcom.com; San Jose, United States; 10000+ Employees; 37 Locations; Type: Company - Public (BRCM); Founded in 1991; Revenue: $10+ billion (USD); Electronics Manufacturing"
Ceridian HCM Holding Inc,"https://www.glassdoor.com.au/Overview/Working-at-Holding-Incosec-EI_IE4919617.11,26.htm","www.incosec.cl; Santiago, Chile; Unknown; Type: Company - Public; Revenue: Unknown / Non-Applicable"
"Evergy, Inc","https://www.glassdoor.com.au/Overview/Working-at-Evergy-EI_IE2550530.11,17.htm","investors.evergy.com/; Kansas City, United States; Unknown; Type: Company - Public; Revenue: Unknown / Non-Applicable; Energy & Utilities"
Keurig Dr Pepper Inc,"https://www.glassdoor.com.au/Overview/Working-at-Keurig-Dr-Pepper-EI_IE2134135.11,27.htm","www.keurigdrpepper.com; Burlington, United States; 10000+ Employees; 6 Locations; Type: Company - Public (KDP); Founded in 2018; Revenue: $10+ billion (USD); Food & Beverage Manufacturing"
The Cigna Group,"https://www.glassdoor.com.au/Overview/Working-at-The-Cigna-Group-EI_IE119.11,26.htm","jobs.thecignagroup.com/us/en; Bloomfield, US; 10000+ Employees; 25 Locations; Type: Company - Public (CI); Founded in 1865; Revenue: $10+ billion (USD); Healthcare Services & Hospitals"
"Moderna, Inc","https://www.glassdoor.com.au/Overview/Working-at-Moderna-EI_IE453959.11,18.htm","www.modernatx.com; Cambridge, United States; 1001 to 5000 Employees; 2 Locations; Type: Company - Public (MRNA); Founded in 2011; Revenue: $10+ billion (USD); Biotech & Pharmaceuticals"
Dow Inc,"https://www.glassdoor.com.au/Overview/Working-at-Dow-EI_IE207.11,14.htm","www.dow.com; Midland, United States; 10000+ Employees; 43 Locations; Type: Company - Public (DOW); Founded in 1897; Revenue: $10+ billion (USD); Chemical Manufacturing"
Fox Corporation,"https://www.glassdoor.com.au/Overview/Working-at-Fox-Corporation-EI_IE2938629.11,26.htm","www.foxcorporation.com; New York, United States; 5001 to 10000 Employees; Type: Company - Public (FOXA); Founded in 2019; Revenue: Unknown / Non-Applicable; Broadcast Media"
Fox Corporation,"https://www.glassdoor.com.au/Overview/Working-at-Fox-Corporation-EI_IE2938629.11,26.htm","www.foxcorporation.com; New York, United States; 5001 to 10000 Employees; Type: Company - Public (FOXA); Founded in 2019; Revenue: Unknown / Non-Applicable; Broadcast Media"
Amcor plc,"https://www.glassdoor.com.au/Overview/Working-at-Amcor-EI_IE33818.11,16.htm","www.amcor.com/; Z??rich, Switzerland; 10000+ Employees; 30 Locations; Type: Company - Public; Founded in 1860; Revenue: $10+ billion (USD); Machinery Manufacturing"
Blackstone Inc,"https://www.glassdoor.com.au/Overview/Working-at-The-Blackstone-Group-EI_IE4022.11,31.htm","www.blackstone.com; New York, United States; 1001 to 5000 Employees; 3 Locations; Type: Company - Public (BX); Founded in 1985; Revenue: $5 to $10 billion (USD); Investment & Asset Management"
Otis Worldwide Corporation,"https://www.glassdoor.com.au/Overview/Working-at-Corporation-Al-Tasslim-For-Delivery-EI_IE7996354.11,46.htm","Ajman, United Arab Emirates; 501 to 1000 Employees; Type: Contract; Revenue: Unknown / Non-Applicable"
Carrier Global Corporation,"https://www.glassdoor.com.au/Overview/Working-at-Global-Pakistan-EI_IE7747672.11,26.htm","www.globalcorporationpk.com; Kar??chi, Pakistan; 1 to 50 Employees; Type: Self-employed; Revenue: Unknown / Non-Applicable"
Viatris Inc,"https://www.glassdoor.com.au/Overview/Working-at-Viatris-EI_IE4143192.11,18.htm","www.viatris.com; Pittsburgh, United States; 10000+ Employees; 11 Locations; Type: Company - Public (VTRS); Founded in 2020; Revenue: Unknown / Non-Applicable; Biotech & Pharmaceuticals"
"Airbnb, Inc","https://www.glassdoor.com.au/Overview/Working-at-Airbnb-EI_IE391850.11,17.htm","www.airbnb.com; San Francisco, United States; 5001 to 10000 Employees; 20 Locations; Type: Company - Public (ABNB); Founded in 2008; Revenue: Unknown / Non-Applicable; Internet & Web Services"
APA Corporation,"https://www.glassdoor.com.au/Overview/Working-at-Apache-Canada-EI_IE6623046.11,24.htm","apacorp.com; Calgary, Canada; 1001 to 5000 Employees; Type: Company - Public; Revenue: Unknown / Non-Applicable"
Seagate Technology Holdings plc,"https://www.glassdoor.com.au/Overview/Working-at-Seagate-Technology-EI_IE1864.11,29.htm",Manually fixed
Federal Realty Investment Trust,"https://www.glassdoor.com/Overview/Working-at-Federal-Realty-Investment-Trust-EI_IE248.11,42.htm",Manually fixed
"Warner Bros. Discovery, Inc","https://www.glassdoor.com.au/Overview/Working-at-Discovery-Inc-EI_IE4220.11,24.htm","corporate.discovery.com; New York, United States; 10000+ Employees; 13 Locations; Type: Company - Public (DISCA); Founded in 1985; Revenue: $5 to $10 billion (USD); Broadcast Media"
GE HealthCare Technologies Inc,"https://www.glassdoor.com.au/Overview/Working-at-GE-HealthCare-EI_IE4112.11,24.htm",Manually fixed
Kenvue Inc,"https://www.glassdoor.com.au/Overview/Working-at-Kenvue-EI_IE8265614.11,17.htm","kenvue.com; Skillman, United States; 10000+ Employees; Type: Company - Public (KVUE); Founded in 2023; Revenue: Unknown / Non-Applicable; Consumer Product Manufacturing"
Veralto Corporation,"https://www.glassdoor.com.au/Overview/Working-at-Veralto-EI_IE9187448.11,18.htm",Manually fixed
