Company Name,URL,Company Info
"Elevance Health, Inc","https://www.glassdoor.com.au/Overview/Working-at-Elevance-Health-EI_IE925157.11,26.htm","www.elevancehealth.com; Indianapolis, United States; 10000+ Employees; 1 Location; Type: Company - Public (ELV); Founded in 2004; Revenue: $10+ billion (USD); Healthcare Services & Hospitals"
Las Vegas Sands Corp.,"https://www.glassdoor.com.au/Overview/Working-at-Las-Vegas-Sands-EI_IE12171.11,26.htm","www.lasvegassands.com; Las Vegas, United States; 10000+ Employees; 2 Locations; Type: Company - Public (LVS); Founded in 2004; Revenue: $10+ billion (USD); Hotels & Resorts"
Celanese Corporation,"https://www.glassdoor.com.au/Overview/Working-at-Celanese-EI_IE37824.11,19.htm","www.celanese.com; Irving, United States; 1001 to 5000 Employees; 15 Locations; Type: Company - Public (CE); Founded in 2004; Revenue: $5 to $10 billion (USD); Chemical Manufacturing"
Molson Coors Beverage Company,"https://www.glassdoor.com.au/Overview/Working-at-Molson-Coors-Beverage-Company-EI_IE1091.11,40.htm","www.molsoncoors.com; Chicago, United States; 10000+ Employees; 11 Locations; Type: Company - Public (TAP); Founded in 1774; Revenue: $2 to $5 billion (USD); Food & Beverage Manufacturing"
"DexCom, Inc","https://www.glassdoor.com.au/Overview/Working-at-Dexcom-EI_IE37983.11,17.htm","www.dexcom.com; San Diego, US; 5001 to 10000 Employees; 12 Locations; Type: Company - Public (DXCM); Founded in 1999; Revenue: $1 to $5 billion (USD); Health Care Products Manufacturing"
"Expedia Group, Inc","https://www.glassdoor.com.au/Overview/Working-at-Expedia-Group-EI_IE9876.11,24.htm","careers.expediagroup.com/; Seattle, United States; 10000+ Employees; 31 Locations; Type: Company - Public (EXPE); Founded in 1996; Revenue: $5 to $10 billion (USD); Internet & Web Services"
"CF Industries Holdings, Inc","https://www.glassdoor.com.au/Overview/Working-at-CF-Industries-EI_IE2744.11,24.htm","www.cfindustries.com; Deerfield, United States; 1001 to 5000 Employees; 8 Locations; Type: Company - Public (CF); Founded in 1946; Revenue: $5 to $10 billion (USD); Chemical Manufacturing"
"Ameriprise Financial, Inc","https://www.glassdoor.com.au/Overview/Working-at-Ameriprise-EI_IE15316.11,21.htm","www.ameriprise.com; Minneapolis, United States; 10000+ Employees; 25 Locations; Type: Company - Public (AMP); Founded in 1894; Revenue: $10+ billion (USD); Investment & Asset Management"
AT&T Inc,"https://www.glassdoor.com.au/Overview/Working-at-AT-and-T-EI_IE613.11,19.htm","www.att.jobs; Dallas, United States; 10000+ Employees; 25 Locations; Type: Company - Public (T); Founded in 1876; Revenue: $10+ billion (USD); Telecommunications Services"
Paramount Global,"https://www.glassdoor.com.au/Overview/Working-at-Paramount-EI_IE40260.11,20.htm","www.paramount.com; New York, United States; 10000+ Employees; 16 Locations; Type: Company - Public (PARAA); Founded in 2019; Revenue: $10+ billion (USD); Film Production"
