Company Name,URL,Company Info
Textron Inc,"https://www.glassdoor.com.au/Overview/Working-at-Textron-EI_IE654.11,18.htm","www.textron.com; Providence, United States; 10000+ Employees; 20 Locations; Type: Company - Public (TXT); Founded in 1923; Revenue: $10+ billion (USD); Aerospace & Defence"
Thermo Fisher Scientific Inc,"https://www.glassdoor.com.au/Overview/Working-at-Thermo-Fisher-Scientific-EI_IE658.11,35.htm","jobs.thermofisher.com; Waltham, United States; 10000+ Employees; 35 Locations; Type: Company - Public (TMO); Founded in 1902; Revenue: $10+ billion (USD); Biotech & Pharmaceuticals"
3M Company,"https://www.glassdoor.com.au/Overview/Working-at-3M-EI_IE446.11,13.htm","www.3m.com; Saint Paul, US; 10000+ Employees; 27 Locations; Type: Company - Public (MMM); Founded in 1902; Revenue: $10+ billion (USD); Consumer Product Manufacturing"
Globe Life Inc,"https://www.glassdoor.com.au/Overview/Working-at-Globe-Life-EI_IE669.11,21.htm","home.globelifeinsurance.com; McKinney, United States; 1001 to 5000 Employees; 5 Locations; Type: Company - Public (GL); Founded in 1900; Revenue: $2 to $5 billion (USD); Insurance Carriers"
Tractor Supply Company,"https://www.glassdoor.com.au/Overview/Working-at-Tractor-Supply-EI_IE2602.11,25.htm","www.tractorsupply.com; Brentwood, United States; 10000+ Employees; 11 Locations; Type: Company - Public (TSCO); Founded in 1938; Revenue: $10+ billion (USD); Home Furniture & Housewares Stores"
Trimble Inc,"https://www.glassdoor.com.au/Overview/Working-at-Trimble-EI_IE2067.11,18.htm","www.trimble.com; Sunnyvale, United States; 10000+ Employees; 24 Locations; Type: Company - Public (TRMB); Founded in 1978; Revenue: $2 to $5 billion (USD); Computer Hardware Development"
"Tyler Technologies, Inc","https://www.glassdoor.com.au/Overview/Working-at-Tyler-Technologies-EI_IE682.11,29.htm","www.tylertech.com; Plano, United States; 5001 to 10000 Employees; 25 Locations; Type: Company - Public (TYL); Founded in 1966; Revenue: $100 to $500 million (USD); Software Development"
"Tyson Foods, Inc","https://www.glassdoor.com.au/Overview/Working-at-Tyson-Foods-EI_IE1975.11,22.htm","www.tysonfoods.com; Springdale, United States; 10000+ Employees; 32 Locations; Type: Company - Public (TSN); Founded in 1935; Revenue: $10+ billion (USD); Food & Beverage Manufacturing"
U.S. Bancorp,"https://www.glassdoor.com.au/Overview/Working-at-U-S-Bank-EI_IE8937.11,19.htm","www.usbank.com; Minneapolis, United States; 10000+ Employees; 37 Locations; Type: Company - Public (USB); Founded in 1863; Revenue: $10+ billion (USD); Banking & Lending"
Union Pacific Corporation,"https://www.glassdoor.com.au/Overview/Working-at-Union-Pacific-EI_IE691.11,24.htm","www.up.com/index.htm; Omaha, United States; Unknown; 22 Locations; Type: Company - Public (UNP); Founded in 1862; Revenue: $10+ billion (USD); Rail Transportation"
