Company Name,URL,Company Info
Xylem Inc,"https://www.glassdoor.com.au/Overview/Working-at-Xylem-EI_IE494852.11,16.htm","www.xylem.com/; Washington, United States; 10000+ Employees; 50 Locations; Type: Company - Public (XYL); Founded in 2011; Revenue: Unknown / Non-Applicable; Machinery Manufacturing"
Aptiv PLC,"https://www.glassdoor.com.au/Overview/Working-at-Aptiv-EI_IE1891089.11,16.htm","www.aptiv.com; Dublin, Ireland; 10000+ Employees; 25 Locations; Type: Company - Public (APTV); Founded in 2017; Revenue: $10+ billion (USD); Electronics Manufacturing"
"EPAM Systems, Inc","https://www.glassdoor.com.au/Overview/Working-at-EPAM-Systems-EI_IE15544.11,23.htm","www.epam.com; Newtown, United States; 10000+ Employees; 91 Locations; Type: Company - Public (EPAM); Founded in 1993; Revenue: $2 to $5 billion (USD); Information Technology Support Services"
Phillips 66,"https://www.glassdoor.com.au/Overview/Working-at-Phillips-66-EI_IE498821.11,22.htm","www.phillips66.com; Houston, United States; 10000+ Employees; 22 Locations; Type: Company - Public (PSX); Founded in 2012; Revenue: $10+ billion (USD); Energy & Utilities"
"Diamondback Energy, Inc","https://www.glassdoor.com.au/Overview/Working-at-Diamondback-Energy-EI_IE42426.11,29.htm","www.diamondbackenergy.com; Midland, United States; 51 to 200 Employees; 2 Locations; Type: Company - Public (FANG); Revenue: $500 million to $1 billion (USD); Energy & Utilities"
"Palo Alto Networks, Inc","https://www.glassdoor.com.au/Overview/Working-at-Palo-Alto-Networks-EI_IE115142.11,29.htm","jobs.paloaltonetworks.com/; Santa Clara, United States; 10000+ Employees; 16 Locations; Type: Company - Public (PANW); Founded in 2005; Revenue: $5 to $10 billion (USD); Enterprise Software & Network Solutions"
American Tower Corporation,"https://www.glassdoor.com.au/Overview/Working-at-American-Tower-EI_IE8043.11,25.htm","www.americantower.com; Boston, United States; 5001 to 10000 Employees; 9 Locations; Type: Company - Public (AMT); Founded in 1995; Revenue: $5 to $10 billion (USD); Telecommunications Services"
AbbVie Inc,"https://www.glassdoor.com.au/Overview/Working-at-AbbVie-EI_IE649837.11,17.htm","www.abbvie.com; North Chicago, United States; 10000+ Employees; 35 Locations; Type: Company - Public (ABBV); Founded in 2013; Revenue: $10+ billion (USD); Biotech & Pharmaceuticals"
Norwegian Cruise Line Holdings Ltd.,"https://www.glassdoor.com.au/Overview/Working-at-Norwegian-Cruise-Line-Holdings-Ltd-EI_IE9937.11,45.htm","www.nclhltd.com/investors/company-information; Miami, United States; 10000+ Employees; 7 Locations; Type: Company - Public (NCLH); Founded in 1966; Revenue: $2 to $5 billion (USD); Travel Agencies"
Zoetis Inc,"https://www.glassdoor.com.au/Overview/Working-at-Zoetis-EI_IE680848.11,17.htm","www.zoetis.com; Parsippany, United States; 5001 to 10000 Employees; 14 Locations; Type: Company - Public (ZTS); Founded in 2013; Revenue: $5 to $10 billion (USD); Biotech & Pharmaceuticals"
"T-Mobile US, Inc","https://www.glassdoor.com.au/Overview/Working-at-T-Mobile-EI_IE9302.11,19.htm","careers.t-mobile.com/; Bellevue, United States; 10000+ Employees; 1 Location; Type: Company - Public (TMUS); Founded in 2001; Revenue: $10+ billion (USD); Telecommunications Services"
CDW Corporation,"https://www.glassdoor.com.au/Overview/Working-at-Corporation-Al-Tasslim-For-Delivery-EI_IE7996354.11,46.htm","Ajman, United Arab Emirates; 501 to 1000 Employees; Type: Contract; Revenue: Unknown / Non-Applicable"
News Corporation,"https://www.glassdoor.com.au/Overview/Working-at-News-Corp-EI_IE3493.11,20.htm","www.newscorp.com; New York, United States; 10000+ Employees; 1 Location; Type: Company - Public (NWS); Founded in 2013; Revenue: $5 to $10 billion (USD); Publishing"
News Corporation,"https://www.glassdoor.com.au/Overview/Working-at-News-Corp-EI_IE3493.11,20.htm","www.newscorp.com; New York, United States; 10000+ Employees; 1 Location; Type: Company - Public (NWS); Founded in 2013; Revenue: $5 to $10 billion (USD); Publishing"
"Intercontinental Exchange, Inc","https://www.glassdoor.com.au/Overview/Working-at-Intercontinental-Exchange-EI_IE13785.11,36.htm","www.intercontinentalexchange.com; Atlanta, United States; 5001 to 10000 Employees; 39 Locations; Type: Company - Public (ICE); Founded in 2000; Revenue: $5 to $10 billion (USD); Stock Exchanges"
Allegion plc,"https://www.glassdoor.com.au/Overview/Working-at-Allegion-EI_IE750928.11,19.htm","www.allegion.com; Dublin, Ireland; 10000+ Employees; 13 Locations; Type: Company - Public (ALLE); Founded in 2013; Revenue: $2 to $5 billion (USD); Consumer Product Manufacturing"
Hilton Worldwide Holdings Inc,"https://www.glassdoor.com.au/Overview/Working-at-Hilton-EI_IE330.11,17.htm",Manually fixed
American Airlines Group Inc,"https://www.glassdoor.com.au/Overview/Working-at-American-Airlines-EI_IE8.11,28.htm","jobs.aa.com; Fort Worth, United States; 10000+ Employees; 30 Locations; Type: Company - Public (AAL); Founded in 1926; Revenue: $10+ billion (USD); Airlines, Airports & Air Transportation"
"Paycom Software, Inc","https://www.glassdoor.com.au/Overview/Working-at-Paycom-EI_IE136736.11,17.htm",Manually fixed
"Arista Networks, Inc","https://www.glassdoor.com.au/Overview/Working-at-Arista-Networks-EI_IE295128.11,26.htm",Manually fixed
Synchrony Financial,"https://www.glassdoor.com.au/Overview/Working-at-Synchrony-EI_IE852160.11,20.htm","www.synchronycareers.com; Stamford, United States; 10000+ Employees; 23 Locations; Type: Company - Public (SYF); Founded in 2014; Revenue: $10+ billion (USD); Banking & Lending"
"Citizens Financial Group, Inc","https://www.glassdoor.com.au/Overview/Working-at-Citizens-EI_IE13640.11,19.htm","jobs.citizensbank.com; Providence, United States; 10000+ Employees; 32 Locations; Type: Company - Public (CFG); Founded in 1828; Revenue: $5 to $10 billion (USD); Banking & Lending"
"Keysight Technologies, Inc","https://www.glassdoor.com.au/Overview/Working-at-Keysight-Technologies-EI_IE877317.11,32.htm","www.keysight.com; Santa Rosa, United States; 10000+ Employees; 26 Locations; Type: Company - Public (KEYS); Founded in 2014; Revenue: Unknown / Non-Applicable; Electronics Manufacturing"
